categorie_de_produit,count
Du 10/08/2023 au 03/01/2024,1
Du 21/05/2021 au 08/06/2021,1
Du 01/08/2021 au 27/04/2022,1
Du 06/12/2021 au 15/02/2022,1
Du 23/08/2019 au 01/09/2021,1
king long store,1
produit contient de l'OGM,1
Du 08/08/2023 au 28/12/2023,1
Suspicion de présence de salmonelle,1
Du 01/10/2021 au 21/10/2021,1
La consommation journalière d'un comprimé conduit à un apport en vitamine B6 de 50 mg correspondant au double de la limite supérieure de sécurité définie par l’EFSA (25 mg/jour pour un adulte),1
Détection de listeria monocytogenes < 10,1
Du 28/06/2021 au 05/07/2021,1
Du 15/08/2020 au 30/06/2021,1
Fellering,1
Du 25/11/2021 au 01/12/2021,1
Du 04/09/2019 au 02/12/2021,1
Du 09/02/2024 au 16/02/2024,1
Il existe un risque qu'un client ne soit pas alerté immédiatement par le,1
Du 22/12/2022 au 28/12/2022,1
Du 22/07/2022 au 24/01/2023,1
Du 29/09/2023 au 13/10/2023,1
Du 01/06/2021 au 15/07/2021,1
Du 22/09/2021 au 24/09/2021,1
Du 05/01/2022 au 18/01/2022,1
Du 04/10/2022 au 08/10/2022,1
FR 76.547.001 CE,1
poireaux saumon,1
Du 07/04/2021 au 22/06/2021,1
Du 02/03/2021 au 30/06/2021,1
Depuis le 01/07/2021,1
Du 01/07/2020 au 23/11/2021,1
0805900021,1
Du 02/06/2022 au 09/08/2022,1
"Risque lié à la présence de substances cancérogènes, mutagènes ou reprotoxiques.",1
Du 01/10/2022 au 31/01/2023,1
Du 17/03/2023 au 02/10/2023,1
Détection de nitrofuranes (furazolidone) - Contaminants chimiques,1
Du 12/03/2021 au 26/07/2021,1
Risques d'allergie cutanée,1
Présence d’oxyde d’éthylène supérieure aux limites réglementaires dans une matière première : Vitamine B12 1% Methylcobalamine,1
Du 18/03/2021 au 27/09/2021,1
Fromage utilisé dans la préparation faisant l'objet d'un rappel pour présence de corps étranger métallique,1
"nous rappelons les lots concernés au niveau de la vente au détail\"",1
Du 12/05/2021 au 10/06/2021,1
Du 19/05/2021 au 31/10/2021,1
Du 01/06/2021 au 23/02/2022,1
Tous les lots,1
Du 21/05/2023 au 20/07/2023,1
https://rappel.conso.gouv.fr/document/113e26d1-8458-43ea-b52c-bebfc5956e0a/Interne/ListeDesDistributeurs,1
"Poches gonflées, mauvaises odeurs suite à un manque de cuisson du produit.",1
Du 03/08/2022 au 09/12/2022,1
PROVOQUE DE GRAVES BRULURES DE LA PEAU PROVOQUE DE GRAVES LESIONS OCULAIRES,1
Du 27/03/2023 au 30/03/2023,1
Du 02/01/2023 au 08/11/2023,1
Depuis le 01/03/2018,1
Du 27/01/2021 au 27/07/2021,1
Produit conditionné en blister (monoproduit ou assortiment) et vendu en libre service en magasin.,1
Du 13/08/2022 au 15/08/2022,1
FR 76 681 001,1
Du 11/01/2023 au 26/01/2024,1
Du 15/04/2021 au 24/06/2021,1
FR 13.097.003 CE,1
La Société HAFNER procède au retrait de la vente de fonds de tarte suite à la mise en évidence de la présence de salmonelles.,1
Du 15/07/2022 au 04/08/2022,1
Les toxi-infections alimentaires causées par les Entérotoxine Staphylococciques se traduisent par des troubles gastro-intestinaux (vomissements principalement) apparaissant dans les heures qui suivent l'ingestion et disparaissant en général rapidement.,1
Du 09/02/2024 au 13/02/2024,1
Du 08/05/2021 au 12/05/2021,1
Du 17/03/2021 au 06/08/2021,1
Du 16/05/2022 au 07/07/2022,1
Du 13/09/2022 au 22/09/2022,1
N°3,1
Du 28/09/2022 au 10/01/2023,1
Du 15/03/2024 au 21/03/2024,1
Du 06/01/2021 au 28/07/2021,1
Du 06/06/2020 au 30/06/2021,1
https://rappel.conso.gouv.fr/document/6ef9dcb7-814a-4706-b7fb-3a85b982bc00/Interne/ListeDesDistributeurs,1
Du 03/05/2021 au 08/06/2021,1
Du 22/09/2021 au 31/10/2021,1
Du 05/04/2023 au 23/04/2023,1
Du 09/02/2021 au 06/08/2021,1
La sangle est trop longue et peut entrainer un arrêt respiratoire ou une étranglement de l'enfant,1
Du 26/05/2023 au 05/06/2023,1
Surdosage de vitamine B3 du fait de l'utilisation d'acide nicotinique à la place de nicotinamide..,1
Du 23/11/2023 au 27/11/2023,1
Depuis le 11/12/2021,1
Du 10/03/2022 au 15/04/2022,1
Présence listeria,1
Du 08/07/2022 au 27/10/2022,1
Du 04/04/2022 au 31/10/2022,1
"Afin de garantir la durabilité du système de frein, PIERER Mobility ordonne le remplacement des freins",1
Du 16/02/2022 au 01/11/2022,1
Du 07/03/2024 au 19/03/2024,1
Depuis le 19/03/2021,1
Du 14/06/2022 au 17/06/2022,1
Du 01/09/2021 au 31/08/2022,1
Présence d'eau dans le connecteur et sur les broches de l'élément chauffant après l'essai IPX4 qui réduit les distances d'isolation.,1
la teneur en nickel libéré est supérieur à la limite réglementaire,1
Du 10/03/2023 au 31/12/2023,1
Du 03/06/2020 au 15/09/2021,1
Du 24/09/2021 au 13/10/2021,1
Du 23/07/2021 au 16/09/2021,1
Du 11/03/2021 au 14/10/2021,1
Du 02/12/2021 au 08/08/2024,1
Du 06/03/2023 au 29/03/2023,1
Du 14/12/2023 au 17/12/2023,1
Du 16/08/2021 au 13/09/2021,1
Du 12/10/2021 au 28/10/2021,1
https://rappel.conso.gouv.fr/document/a94b0683-32a1-4d21-998c-8537db55133d/Interne/ListeDesDistributeurs,1
Du 04/04/2022 au 21/12/2022,1
Du 11/04/2023 au 14/04/2023,1
"1 rose et 1 bleu)\"",1
Du 16/06/2021 au 24/06/2021,1
La transmission d'un choc trop violent peut engendrer des blessures au niveau de la cheville de l'utilisateur.,1
Présence de Bisphenol A,1
Du 20/05/2022 au 08/06/2022,1
Du 09/08/2022 au 12/08/2022,1
"- Présence de cordons fonctionnels dans la zone tête et cou, présentant un risque de strangulation.",1
Du 20/11/2021 au 02/11/2022,1
Du 18/06/2021 au 19/01/2023,1
Du 01/03/2022 au 03/03/2023,1
Depuis le 01/10/2022,1
Du 19/05/2023 au 10/06/2023,1
"GMS, Hotel, Restaurants (voir doc annexe)",1
cervelles,1
Du 08/11/2021 au 04/12/2023,1
ARFD>100% risque pour le consommateur,1
Depuis le 01/10/2020,1
Du 06/10/2021 au 25/10/2021,1
FR 14.479.005,1
Du 01/12/2021 au 05/07/2023,1
Du 28/07/2020 au 02/07/2021,1
Du 03/08/2021 au 04/08/2021,1
Du 20/10/2020 au 09/07/2021,1
"Absence d'indication des présences d'allergène intentionnel  Poisson  et des présences éventuelles de  crustacé, mollusque, gluten, œuf, soja, lait, céleri, moutarde, fruits à coques",1
Du 01/01/2021 au 31/07/2021,1
Du 29/09/2022 au 04/10/2022,1
Du 13/11/2023 au 16/11/2023,1
Du 20/11/2020 au 25/05/2021,1
Jusqu'au 23/12/2021,1
Risque d'arrachement de la tétine de couvercle,1
Du 05/08/2022 au 16/08/2022,1
Du 06/09/2022 au 26/09/2022,1
Du 10/01/2023 au 24/02/2023,1
203163123027,1
Du 30/09/2020 au 31/05/2021,1
Présence Listéria Monocytogenes,1
Jusqu'au 11/01/2022,1
Jusqu'au 09/11/2023,1
Du 09/07/2018 au 04/02/2022,1
Du 31/03/2021 au 05/04/2021,1
Du 07/12/2020 au 16/07/2021,1
L'oxyde d'éthylène est une substance CMR,1
Du 23/10/2021 au 25/10/2021,1
Du 05/08/2022 au 04/11/2022,1
Du 26/06/2023 au 27/06/2023,1
Du 19/06/2023 au 20/07/2023,1
Du 27/08/2021 au 20/09/2021,1
Carton,1
Du 10/08/2021 au 20/10/2021,1
62.817.030,1
Du 03/08/2022 au 20/10/2022,1
https://rappel.conso.gouv.fr/document/9ed089da-f024-4a18-8571-5a8f71d46d66/Interne/ListeDesDistributeurs,1
Présence d'oxyde d'éthylène à une teneur supérieur à la limite autorisée sur un lot de matière première (gomme de caroube).,1
Du 02/09/2019 au 31/01/2022,1
Du 08/10/2021 au 04/04/2022,1
Du 25/05/2022 au 27/05/2022,1
Du 25/01/2023 au 18/09/2023,1
3665257290382 SKU : 600111091 LOT : 072023,1
Du 27/01/2020 au 09/11/2021,1
Une personne allergique au fruits à coques pourrait faire une réaction allergique,1
Echange Autre (voir informations complémentaires),1
Du 15/07/2022 au 21/03/2023,1
Du 25/01/2023 au 03/07/2023,1
Du 09/11/2020 au 28/07/2021,1
CARREFOUR,1
Du 01/09/2022 au 01/09/2023,1
Du 15/10/2021 au 04/07/2022,1
Du 01/01/2022 au 14/09/2023,1
Du 27/09/2023 au 12/10/2023,1
Du 26/03/2021 au 23/07/2022,1
"bac 2,4L",1
Du 27/09/2021 au 04/10/2021,1
Sac de 10kg + 2kg offert,1
EUH208 :  Contient du limonene peut produire une réaction allergique,1
"Défaut de fabrication, défaut d'étanchéité (ex: micro fuites, thermoscellage défectueux) ou anomalies de conditionnement",1
DEFAUT DE SOUDURE AU NIVEAU DU LINER,1
"Ce produit ne respecte pas la norme de sécurité EN 71-1, de petits morceaux peuvent se détacher facilement et provoquer un arrêt respiratoire en cas d’ingestion. Nous vous demandons de cesser immédiat",1
Les coutures ne sont pas conformes à la norme EN71-1 clause 5.2,1
Du 10/06/2021 au 20/07/2021,1
Du 01/11/2020 au 08/07/2023,1
Du 04/07/2023 au 13/07/2023,1
https://rappel.conso.gouv.fr/document/ce8dde56-f72d-4fc6-a403-fb4a2b3aff30/Interne/ListeDesDistributeurs,1
https://rappel.conso.gouv.fr/document/b0cd1dca-795e-44ab-81d3-4aa6ec05773e/Interne/ListeDesDistributeurs,1
Du 28/06/2022 au 09/12/2022,1
sans,1
Du 10/02/2023 au 16/03/2023,1
Produit nu vendu à la coupe ou en barquette plastique filmée x4,1
mauvais étiquetage,1
"40% et 60%.\"",1
Du 01/08/2022 au 10/09/2022,1
Les alcaloîdes tropaniques sont des composants naturels qui poussent sur les cultures,1
Du 01/01/2021 au 07/02/2022,1
céphalées,1
"Les alcaloïdes tropaniques (AT) sont des toxines naturelles sécrétées par diverses familles de végétaux. Une exposition à des AT peut entraîner des troubles cardiaques, nerveux et de la tension.",1
blanquette de poulet,1
Du 29/09/2021 au 15/10/2021,1
Du 08/01/2020 au 26/11/2021,1
"Le système de freinage a un frein de stationnement sur les essieux 1 et 3, mais les véhicules sont équipés d’un frein de stationnement uniquement sur l’essieu 3.",1
Du 19/08/2021 au 26/08/2021,1
"Rappel de lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",1
Allergie,1
Du 14/06/2022 au 25/10/2022,1
Du 27/04/2021 au 12/07/2021,1
Du 01/05/2018 au 09/07/2021,1
https://rappel.conso.gouv.fr/document/b56a0a81-569a-48db-bf6e-c8a96ba788b0/Interne/ListeDesDistributeurs,1
La teneur en cuivre détectée dans l'épée est supérieur a la limite autorisée et représente un danger pour la santé.,1
marché d'à côté,1
Du 10/03/2021 au 27/10/2021,1
Du 01/08/2020 au 07/09/2021,1
Suspicion de contamination à la Listeria,1
Du 09/01/2020 au 08/06/2021,1
Risque pour les personnes allergiques ou intolérantes au lait ou au lactose.,1
Du 13/11/2023 au 05/12/2023,1
e2*2007/46*0534*05,1
Du 04/10/2021 au 08/10/2021,1
Une anomalie de production a généré une modification des renforts malléoles pouvant transmettre trop de force sur les chevilles.,1
RISQUE DEPASSEMENT DU SEUIL DE SECURITE,1
Du 25/10/2022 au 19/04/2023,1
Du 04/01/2021 au 24/11/2021,1
Du 23/02/2024 au 18/03/2024,1
Du 28/07/2022 au 14/08/2022,1
Suspicion de Listéria monocytogène,1
"328g, 656g et 2,7KG",1
Du 05/01/2022 au 31/01/2023,1
La rupture d’une chaine de froid,1
Jusqu'au 11/09/2021,1
Du 04/03/2022 au 08/03/2022,1
Du 06/10/2022 au 20/01/2023,1
suspicion de listeria monocytogenes,1
Problème d'étiquetage de la DLC,1
"point 5.8 de la norme NF EN 71-1  la toque du canard jaune dépasse du gabarit A. Risque d'étouffement par régurgitation. Point 6, Présence d'un sachet plastique non perméable épaisseur inf. 0,0038mm",1
Du 18/07/2022 au 22/05/2023,1
Du 07/11/2023 au 08/12/2023,1
résultat d'analyse de toxine ASP supérieur au seuil autorisé,1
Du 01/12/2020 au 17/10/2021,1
Depuis le 07/01/2022,1
https://rappel.conso.gouv.fr/document/2a0fe79c-eea4-4636-bed8-7809e50dd5e6/Interne/ListeDesDistributeurs,1
Du 08/12/2020 au 26/03/2022,1
Du 16/11/2021 au 25/10/2022,1
Du 01/12/2022 au 30/03/2023,1
Du 14/08/2018 au 29/07/2022,1
Tous les lots Date de durabilité minimale entre le 03/12/2023 et le 16/01/2024,1
Du 07/11/2023 au 29/01/2024,1
Du 06/05/2020 au 02/04/2021,1
/,1
Jard sur Mer,1
Absence de la mention Sulfites au niveau des étiquettes,1
Du 08/09/2022 au 19/09/2022,1
Du 25/05/2023 au 30/07/2023,1
Du 22/11/2023 au 08/12/2023,1
Présence de Listéria,1
Du 06/10/2021 au 05/02/2022,1
Depuis le 25/05/2022,1
Risque d'allergie ou d'intolérance au lait de chèvre,1
Du 17/03/2018 au 01/06/2022,1
Du 28/09/2020 au 26/07/2021,1
Détection d'erreurs dans le calcul du temps de plongée écoulé.,1
2232772000000 231779006 Date limite de consommation 16/07/2023 2415618000000 231779004 Date limite de consommation 16/07/2023,1
Du 20/01/2022 au 28/02/2022,1
Remboursement Echange Réparation,1
Du 19/07/2023 au 31/07/2023,1
Par mesure de précaution suite à une alerte chez un producteur fermier en raison d'une présence potentielle de Listeria Monocytogenes.,1
Du 17/02/2023 au 30/03/2023,1
La fonction «Stop & Start» pourrait ne pas fonctionner correctement.,1
Du 26/04/2021 au 26/04/2021,1
700 ml,1
Du 24/11/2023 au 18/12/2023,1
Du 06/11/2023 au 03/01/2024,1
Du 15/05/2019 au 21/06/2021,1
https://rappel.conso.gouv.fr/image/28033558-d189-4143-986e-659b4c9f08c9.jpg,1
Du 14/12/2021 au 16/07/2022,1
"etc...\"",1
Provoque des brûlures de la peau et des lésions oculaires graves.,1
Du 30/08/2023 au 31/08/2023,1
Mise à niveau technique du système de freinage,1
Du 23/03/2021 au 02/04/2021,1
Le masque ne respecte pas les dispositions du règlement (UE) 2016/425 et à la norme NF EN 1938:2010.,1
Existence d'un traitement ionisant non signalé sur l'étiquetage,1
"Carrefour, Leclerc , SystemeU, Auchan, Simply Market, Casino, Intermarché, Monoprix, Franprix, Segurel, Teldis",1
Du 24/01/2022 au 25/01/2022,1
Du 06/05/2021 au 10/03/2022,1
Depuis le 01/12/2021,1
Détérioration prématurée du revêtement lors de la chauffe : brunissement pouvant aller jusqu’au décollement dans certains cas.,1
Du 10/10/2022 au 17/07/2023,1
Du 25/05/2023 au 20/07/2023,1
FR. 35.095.126 CE,1
"Vrac (lactique et aperifrom), barquette plastique (aperifrom)",1
Du 15/06/2021 au 18/06/2021,1
Du 03/09/2021 au 15/09/2021,1
"absence du pictogramme de danger SGH08 et SGH07 ,de la mention d'avertissement <danger> ,des mentions de danger H302,H319,H332,H351,H372 et H361D ,du nom de la substance Chloroforme ,de l'indication de danger détectable au toucher,",1
Du 01/03/2020 au 31/07/2021,1
Du 16/08/2022 au 19/08/2022,1
FR 01 263 001 CE,1
Du 18/04/2023 au 26/05/2023,1
Du 07/12/2021 au 07/12/2022,1
Choc électrique,1
Du 01/04/2022 au 25/10/2023,1
Du 05/03/2021 au 26/03/2021,1
Risque de dépassement de la limite autorisée en oxyde d'éthylène dans le produit fini,1
Du 01/01/2017 au 01/01/2022,1
Du 19/01/2022 au 16/02/2022,1
Du 14/02/2023 au 14/02/2023,1
Du 08/07/2023 au 14/07/2023,1
3614912983930,1
"La teneur en cadmium mesurée dans les parties métalliques, est supérieure à la limite réglementaire.",1
Du 01/12/2021 au 01/06/2023,1
Allergies,1
Du 26/01/2024 au 31/01/2024,1
Additifs et arômes non autorisés,1
VOIR FICHIER PDF,1
Depuis le 07/09/2021,1
"VB310810 : fabrications jusqu'à juillet 2018.\"",1
intermarché bourg st maurice,1
Présence ETO supérieur aux valeurs règlementaires,1
"Consommation de Desmodium, Chardon-Marie, Romarin, Chrysanthellum soumis à conseil médical en cas de co-médication avec des molécules à fort métabolisme hépatique.",1
Présence de mercure,1
Du 01/01/2014 au 23/02/2024,1
Du 07/03/2024 au 16/03/2024,1
Du 25/01/2021 au 27/07/2021,1
Depuis le 03/03/2020,1
Du 20/06/2023 au 28/06/2023,1
Du 28/01/2022 au 04/08/2023,1
Du 10/06/2021 au 15/06/2021,1
Du 04/06/2021 au 27/07/2021,1
Du 15/09/2021 au 19/10/2021,1
"Si la personne est allergiques aux fruits à coques (noisettes et amandes), risque de réaction allergique. Ne plus consommer si allergique.",1
Teneur en alcaloïdes mesurée : 224µg/kg,1
Du 04/04/2022 au 07/04/2022,1
Du 10/05/2023 au 31/01/2024,1
LA CHAPPENOISE,1
FR.35.163.009.CE,1
0187085908,1
Du 03/03/2021 au 15/08/2021,1
PRESENCE DE CADMIUM SUPERIEUR AU POURCENTAGE AUTORISE,1
Jusqu'au 30/11/2022,1
Du 16/09/2021 au 04/04/2023,1
Du 26/05/2023 au 08/06/2023,1
Du 14/03/2023 au 17/07/2023,1
EURELEC,1
Du 26/04/2022 au 29/04/2022,1
Du 23/12/2021 au 01/09/2022,1
0559412594,1
Présence d'oxyde d'éthylène à une teneur supérieure à la limite autorisée.,1
Du 24/08/2021 au 11/10/2021,1
Du 25/09/2017 au 05/09/2022,1
Du 18/10/2022 au 26/10/2022,1
Du 23/08/2019 au 01/10/2021,1
Du 03/07/2023 au 07/07/2023,1
Du 15/09/2021 au 04/11/2021,1
Du 09/11/2019 au 02/04/2021,1
Du 10/11/2021 au 10/11/2021,1
Nous avons détecté une altération organoleptique sur un de nos produits. Il s’agit de la présence potentielle d’une altération du goût et de l’odeur (vinaigre) rendant le produit impropre à la consommation.,1
Clostridium botulinum (agent responsable du botulisme) Autre risque,1
Du 13/04/2022 au 24/02/2023,1
Pot en verre avec couvercle cuivré,1
Erreur étiquetage sur le produit F717600012 CROC TOMATE MOZZA X4 Sous le lot 02943345.,1
Boîte de 30 gélules,1
Tous les lots commercialisés à partir du 01/04/2022,1
Du 21/03/2022 au 10/06/2022,1
Rayon traditionnel : barquette en plastique,1
Du 03/01/2022 au 09/09/2022,1
Du 01/06/2022 au 26/05/2023,1
Du 22/11/2023 au 18/12/2023,1
Du 14/11/2023 au 14/02/2024,1
Les feux de croisement peuvent faire face vers le bas en raison du défaut de fonctionnement du système de correction de la hauteur du faisceau.,1
Du 06/07/2020 au 03/11/2021,1
Aflatoxines et pesticides,1
Du 01/03/2021 au 08/06/2022,1
Le produit fini fabriqué  est non-conforme,1
Du 01/06/2022 au 24/05/2023,1
https://rappel.conso.gouv.fr/document/d3ea8f84-a81f-43d6-8758-ff56cd3af63e/Interne/ListeDesDistributeurs,1
Du 30/10/2019 au 01/04/2021,1
Du 12/10/2021 au 17/12/2021,1
Du 23/08/2019 au 01/07/2021,1
FR34142007CE,1
3665771036299   3665771062137   3665771063141,1
L'opération de contrôle qualité dont nous ne pouvons garantir la réalisation prémunit nos produits de dysfonctionnements dans des circonstances rares mais possibles.,1
Du 14/09/2022 au 19/09/2022,1
Du 15/09/2023 au 15/01/2024,1
Du 20/12/2023 au 22/12/2023,1
Du 22/04/2021 au 11/06/2021,1
Du 01/02/2020 au 01/07/2020,1
Du 28/07/2021 au 29/06/2022,1
Du 02/12/2021 au 14/07/2022,1
Du 24/02/2021 au 17/04/2023,1
BARQUETTE SOUS ATMOSPHERE PROTECTRICE,1
Du 11/03/2024 au 12/03/2024,1
Il est donc demandé aux personnes qui détiendraient ces produits (numéro de lot et DLC spécifiés) de ne pas les consommer après le 03/06/2021 et de les rapporter au point de vente pour destruction,1
Du 29/09/2020 au 30/07/2021,1
"L'oxyde d’éthylène est une substance cancérigène, mutagène et toxique pour la reproduction (en cas de consommation élevée et répétée)",1
"Présence de petits éléments détachables (anneau en métal, yeux de la peluche) et accès au rembourrage fibreux du fait de la faiblesse de certaines coutures, pouvant être ingérés.",1
La teneur en Chlorpyrifos (-ethyl) observée sur cet échantillon est supérieure à la LMR retenue par la législation européenne pour ce produit.,1
Du 14/12/2022 au 19/02/2023,1
Du 21/12/2022 au 04/01/2023,1
"Dans le cadre de contrôles qualité notre fabricant a identifié que deux pneus peuvent présenter un défaut qui pourrait, dans certains cas, provoquer une perte de pression soudaine et par conséquent l’éclatement du pneumatique.",1
Détection de Listéria monocytogenes (<40 ufc/g),1
FR 56.121.005 CE,1
Du 10/03/2021 au 15/11/2021,1
Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,1
Du 29/05/2020 au 10/11/2023,1
Du 02/08/2023 au 14/08/2023,1
FR 47-091-005 CE,1
Du 25/03/2021 au 31/03/2021,1
Du 01/02/2020 au 15/09/2021,1
Taux de biphényl et anthraquinones trop élevé dans les analyses concernant le Lapacho,1
Du 01/07/2023 au 23/09/2023,1
Du 17/09/2019 au 17/05/2021,1
Du 05/03/2020 au 02/08/2021,1
Du 24/08/2022 au 21/09/2022,1
Du 30/06/2023 au 14/07/2023,1
Du 20/02/2024 au 22/02/2024,1
Du 17/03/2023 au 18/10/2023,1
Du 25/11/2019 au 05/05/2021,1
Rapporter le produit au point de vente Contacter le point de vente,1
Du 13/06/2022 au 10/05/2023,1
Du 09/09/2021 au 30/09/2021,1
Du 01/06/2022 au 04/06/2022,1
Du 08/12/2022 au 16/12/2022,1
"Les toxi-infections alimentaires causées par ces toxines se traduisent par des troubles digestifs (vomissements, douleurs abdominales, diarrhées) dans un délai de 2 à 24 heures suivant l'ingestion des coquillages contaminés. Ces troubles peuvent être suivis de sensations d'étourdissement, de maux de tête persistants, d'une désorientation et éventuellement d'une perte de la mémoire récente.",1
Du 14/06/2021 au 20/10/2021,1
"3614912936745 (pointure 40)\"",1
suspicion de salmonelle,1
0479257992,1
Du 22/10/2021 au 05/12/2023,1
607282 : colis de 100,1
BUT,1
https://rappel.conso.gouv.fr/document/b66b8cf8-df3c-4486-a03c-665930f726c7/Interne/ListeDesDistributeurs,1
Complément alimentaire contenant un ingrédient non autorisé.,1
Du 29/02/2024 au 28/03/2024,1
17.164.003,1
Antiagglomérant : talc,1
Du 29/11/2022 au 09/12/2022,1
Du 24/06/2021 au 27/08/2021,1
mise en évidence d’un risque de lait caillé,1
Du 19/11/2021 au 08/12/2021,1
"version du programme informatique est 2A.\"",1
Du 30/04/2022 au 02/05/2022,1
Du 01/02/2022 au 26/07/2022,1
Du 26/11/2021 au 02/11/2022,1
Du 31/01/2023 au 03/02/2023,1
X2,1
Du 01/04/2021 au 01/04/2021,1
Du 19/07/2021 au 06/08/2021,1
Du 22/09/2021 au 08/10/2021,1
Du 15/12/2021 au 18/12/2021,1
FR 74 211 060 CE,1
IT X8S8K CE,1
https://rappel.conso.gouv.fr/document/038869bb-150f-4f92-a885-9d54a3043c6f/Interne/ListeDesDistributeurs,1
Du 12/09/2022 au 30/09/2022,1
Détachement des boutons-pression,1
Produits phytosanitaires non autorisés,1
Annexe,1
Du 23/09/2021 au 08/10/2021,1
Du 27/12/2021 au 13/01/2022,1
Le teneur en plomb sur le support strass libéré mesure est supérieur à la limite réglementée,1
Du 01/01/2022 au 23/03/2023,1
Du 13/06/2023 au 03/07/2023,1
Du 22/11/2023 au 13/12/2023,1
Du 29/06/2020 au 02/08/2021,1
Du 02/03/2022 au 20/03/2022,1
Depuis le 22/07/2022,1
Du 12/05/2023 au 17/05/2023,1
"En cas d’allergie à un aliment contenant un allergène majeur (œuf, lait, poisson, etc.), le système immunitaire réagit par des manifestations inflammatoires de survenue brutale.",1
EG 6640 NL           FR 62.025.003 C.E.,1
Du 01/12/2022 au 21/09/2023,1
Du 04/12/2023 au 12/12/2023,1
Du 04/05/2021 au 04/06/2021,1
Du 24/01/2021 au 27/07/2021,1
Du 01/10/2021 au 11/03/2022,1
Du 16/05/2022 au 10/06/2022,1
Résistance mécanique insuffisante et de l’accès aux piles pour les enfants,1
https://rappel.conso.gouv.fr/document/21faa480-1f78-4c86-9792-bf27174d59fb/Interne/ListeDesDistributeurs,1
https://rappel.conso.gouv.fr/document/ff501611-2168-451a-976b-e93d5720f8be/Interne/ListeDesProduits,1
Du 25/09/2023 au 17/10/2023,1
Clisson,1
Du 01/12/2020 au 26/11/2021,1
0243603100,1
Du 13/10/2021 au 26/11/2021,1
Du 01/09/2021 au 14/04/2022,1
Du 30/05/2022 au 08/06/2022,1
Du 28/10/2021 au 02/11/2022,1
Du 18/03/2021 au 06/08/2021,1
Du 06/12/2021 au 15/03/2022,1
SAC 2.5KG,1
présence de listeria,1
Du 11/10/2022 au 06/02/2023,1
Présence éventuelle de mycotoxines,1
Du 24/03/2020 au 29/07/2021,1
Du 29/05/2020 au 31/08/2021,1
0658352900,1
Du 02/05/2022 au 24/06/2022,1
Du 01/07/2022 au 06/10/2022,1
Du 17/03/2023 au 31/08/2023,1
Du 15/10/2023 au 25/10/2023,1
Du 25/10/2023 au 06/11/2023,1
ceinture,1
Du 01/09/2020 au 20/10/2021,1
Du 03/09/2021 au 23/02/2023,1
La petite partie dure sous les pieds est trop grande pour les bébés avant 10 mois.,1
Produit contenant du Bore limite de migration dans le slim rose à 1181 mg/kg,1
Du 28/02/2022 au 05/07/2022,1
Du 19/06/2023 au 06/07/2023,1
"Présence de phtalates (DiBP, DBP et DEHP) en concentrations très supérieures aux limites réglementaires.",1
Depuis le 01/01/2018,1
"BAC 2,5L",1
Du 26/08/2020 au 02/12/2022,1
Du 01/04/2023 au 02/08/2023,1
Surdosage de vitamine B3 du fait de l'utilisation d'acide nicotinique à la place de nicotinamide.,1
azote basique volatil total (ABVT) supérieur aux critères - risque d'intoxication alimentaire,1
Du 07/12/2022 au 19/10/2023,1
Du 01/06/2021 au 23/09/2021,1
Du 10/02/2021 au 07/11/2022,1
Du 18/10/2023 au 19/10/2023,1
Le bouchon de la colonne de direction peut ne pas être correctement serré.,1
Du 02/10/2020 au 11/02/2021,1
Présence de nitrites,1
https://rappel.conso.gouv.fr/document/0784a14b-21b1-4872-83af-f7f3be99417d/Interne/ListeDesDistributeurs,1
Du 01/07/2020 au 20/07/2021,1
Du 01/08/2022 au 12/08/2022,1
Du 06/10/2022 au 10/10/2022,1
Du 26/10/2022 au 31/10/2022,1
Du 24/06/2023 au 03/07/2023,1
Du 02/12/2023 au 09/12/2023,1
Perturbateur endocrinien si exposition forte au produit.,1
Du 19/12/2019 au 15/11/2020,1
LISTERIA MONOCYTOGENES,1
Du 24/10/2022 au 21/12/2022,1
"5mm).\"",1
FR 59 039 030 CE,1
Présence de substance interdite,1
Du 24/02/2020 au 06/07/2021,1
"Dans le cadre d'essais de résistance sur les lunettes, certains échantillons testés ont été identifiés non conformes (ex : éclatement de l'oculaire",1
France entière,1
Du 02/06/2022 au 02/06/2022,1
Défaut verrier : bavure au niveau de la bague de la bouteille,1
Suspicion de Listeria monocytogène dans les plaquettes des 250g de BEURRE laitier lot n°14323,1
Du 02/12/2020 au 22/07/2021,1
Huningue,1
Rappel du produit  Pomme de terre/harengs  suite à la mise en évidence de la présence de Listeria dans les Filets de harengs utilisés dans la fabrication.,1
Du 02/07/2022 au 31/07/2022,1
Du 01/02/2021 au 09/11/2022,1
