reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-07-0347,1,Volontaire (sans arrêté préfectoral),Autres,Divers,katime,"4117CB
4117",3700325607003 Tous les lots,"Blister plastique blanc et rouge
Etui carton blanc et fuchsia",Du 10/01/2021 au 13/07/2021,,,,France entière,"LA FOIR'FOUILLE
CENTRAKOR
MARCHE AUX AFFAIRES
BAZARLAND
CROC'AFFAIRES
KANDY","produit non conforme au règlement CE n° 1907/2006 du 18 décembre 2006
teneur en plomb sur 2 parties de la montre",Intoxication,,,Rapporter le produit au point de vente,243843113,Echange,,,https://rappel.conso.gouv.fr/image/4b81f27d-3c8c-4a70-8546-3b36550a848f.jpg https://rappel.conso.gouv.fr/image/0a0ca59e-4253-426f-97ff-167040d63821.jpg https://rappel.conso.gouv.fr/image/5e91f26f-7384-4a0a-b88e-c841978f5644.jpg https://rappel.conso.gouv.fr/image/881c46a9-0a7b-448a-99dd-79a8243c10bf.jpg,https://rappel.conso.gouv.fr/document/ea11a2a5-3083-42cd-bc45-24cb4602ffcc/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/a552833c-eab1-4a12-a399-b63fb7144f98/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/1513/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1513/Interne,6D242319-3F21-4FB9-96C5-448B59664923,2021-07-23
2021-07-0087,2,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,Extrême Vanille Praliné x6,7613034077943 LPL9333   LPL9334 Date de durabilité minimale 31/05/2021 7613034077943 LPL1035   LPL1036   LPL1037 Date de durabilité minimale 31/08/2022 7613034077943 LPL1130   LPL1131   LPL1132 Date de durabilité minimale 30/11/2022 7613034077943 LPL1063   LPL1064   LPL1065 Date de durabilité minimale 30/09/2022,Extrême Vanille Praliné x6,Du 02/04/2020 au 09/08/2021,Produit à conserver au congélateur,,Extrême Vanille Praliné x6,France entière,"AUCHAN , BAUD REGION,  CARREFOUR, CASINO , CORA REGION,DIVERS CLIENTS CORSE, EXPORT TG, INDEPENDANTS,INTERMARCHE,ITM, PROXI, MATCH FRANCE REGION, MONOPRIX REGION, PICARD, SCHIEVER, SYSTEME U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la présence  d'oxyde d'éthylène supérieur à la limite autorisée par le règlementation européenne dans le produit fini .",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la règlementation européenne dans le produit fini .,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 9 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/94dddeb9-fd9b-4925-817e-75b167b6d114.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1514/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1514/Interne,BA83AC70-DF96-41D3-8998-7B4DE0D6DD37,2021-08-09
2021-07-0085,2,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,Cône Extrême COEUR FONDANT-CARAMEL,3274664173371 LPL1053   LPL1054   LPL1055 Date de durabilité minimale 31/08/2022,Cône Extrême COEUR FONDANT-CARAMEL,Du 06/04/2021 au 09/08/2021,Produit à conserver au congélateur,,Cône Extrême COEUR FONDANT-CARAMEL,France entière,"AUCHAN , BAUD REGION,  CARREFOUR, CASINO , CORA REGION,DIVERS CLIENTS CORSE, EXPORT TG, INDEPENDANTS,INTERMARCHE,ITM, PROXI, MATCH FRANCE REGION, MONOPRIX REGION, PICARD, SCHIEVER, SYSTEME U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la présence  d'oxyde d'éthylène supérieur à la limite autorisée par le règlementation européenne dans le produit fini .",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la règlementation européenne dans le produit fini .,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 9 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/f3da6301-d08e-4ba8-912e-dcfce7d6777c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1517/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1517/Interne,E4192EBC-A39F-4EDA-A1ED-0D771DE4201A,2021-08-09
2021-07-0024,2,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,8 Cone Van/Fraise 960mL EXTREME,7613031608065 LPL1050   LPL1051 Date de durabilité minimale 31/08/2022 7613031608065 LPL1083   LPL1084 Date de durabilité minimale 30/09/2022,8 Cone Van/Fraise 960mL EXTREME,Du 07/04/2020 au 06/08/2021,Produit à conserver au congélateur,,8 Cone Van/Fraise 960mL EXTREME,France entière,"AUCHAN , BAUD REGION,  CARREFOUR, CASINO , CORA REGION,DIVERS CLIENTS CORSE, EXPORT TG, INDEPENDANTS,INTERMARCHE,ITM, PROXI, MATCH FRANCE REGION, MONOPRIX REGION, PICARD, SCHIEVER, SYSTEME U REGION","La société Froneri procède au rappel de certains lots de produits, suite à la présence  d'oxyde d'éthylène supérieur à la limite autorisée par le règlementation européenne dans le produit fini .",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la règlementation européenne dans le produit fini .,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 6 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/cda75330-a4ff-4e0b-be2b-688ef854376f.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1518/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1518/Interne,11F4A70C-6181-42C2-A917-63C92C3E5AA1,2021-08-09
2021-07-0350,1,Imposé par arrêté préfectoral,Alimentation,Fruits et légumes,Prince de Bretagne,concombre AB,3370562300021 004 5176 1841432,colis 12 pièces ou 10 kg,Du 25/06/2021 au 02/07/2021,Produit à conserver à température ambiante,,,France entière,"celtileg, Riou, Bourel, Lagadec, LPB, Keltivia, Jardin Breton, BioRennes, Breizh Primeurs, Metro, DC Primeurs, Bourguignon, Bourdales, Carrefour, Casino, Bio Pays Landais, Lidl, Leclerc, Match, Intermarché, Pronatura, greenyard, Stm Bio And Co",Présence d'un résidu de pesticide,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Détruire le produit,298623144,Remboursement,vendredi 30 juillet 2021,,https://rappel.conso.gouv.fr/image/1937f140-efee-4683-8497-b9acd19bdaa0.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1519/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1519/Interne,3B0E304D-6B63-4663-9807-4C30B4554653,2021-07-22
2021-07-0025,2,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,EXTREME ®,EXTREME  Vanille Fraise  Onctueuse  X 6,7613035887930 LPL0332 Date de durabilité minimale 31/05/2022 7613035887930 LPL1061   LPL1062 Date de durabilité minimale 30/09/2022 7613035887930 LPL1132 Date de durabilité minimale 30/11/2022,EXTREME  Vanille Fraise  Onctueuse  X 6,Du 04/05/2020 au 09/08/2021,Produit à conserver au congélateur,,EXTREME  Vanille Fraise  Onctueuse  X 6,France entière,LECLERC,"La société Froneri procède au rappel de certains lots de produits, suite à la présence  d'oxyde d'éthylène supérieur à la limite autorisée par le règlementation européenne dans le produit fini .",Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène supérieur à la limite autorisée par la règlementation européenne dans le produit fini .,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 9 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/2fa213fd-7048-4f63-a63b-76807fbf7df5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1520/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1520/Interne,BE56461E-6368-4770-960F-5DA250BCA567,2021-08-09
2021-07-0554,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,Bac 1.8L Piton des Neiges vanille bourbon et coulis de Goyavier,3297564102609 20359 Date de durabilité minimale 31/12/2022 3297564102609 21046 Date de durabilité minimale 28/02/2023 3297564102609 21148 Date de durabilité minimale 31/05/2023,"BAC 1,8L",,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/ea78d431-7ab1-40c8-b16b-f15ddb6c2fff.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1738/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1738/Interne,C0C3558D-8B43-4C28-8F7F-D04DB117BBBB,2021-07-22
2021-07-0573,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,Cônes x 4 Piton des Neiges vanille bourbon et coulis de Goyavier,3297560102764 20339 20342 Date de durabilité minimale 31/05/2022 3297560102764 21004 Date de durabilité minimale 30/06/2022 3297560102764 21117 Date de durabilité minimale 30/09/2022 3297560102764 21118 Date de durabilité minimale 31/10/2022,Boîte de 4 cônes,,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/4f9e1e1e-bbf5-4cad-b0ff-0c5c7e9c69ce.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1757/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1757/Interne,DA6615B2-9A05-480F-BDD7-3A31BF6BF663,2021-07-22
2021-07-0580,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,Cônes x 4  Piton des Neiges mangue et coulis de passion,3760234440504 20269 Date de durabilité minimale 31/03/2022 3760234440504 20343 Date de durabilité minimale 30/06/2022 3760234440504 21081 Date de durabilité minimale 30/09/2022,Boîte de 4 cônes,,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/f2dee5cb-72a7-4d34-b4fd-f606f6584bcc.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1764/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1764/Interne,03B7784E-0682-4D53-ACBD-4A895F68D858,2021-07-22
2021-07-0582,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,"Bac 0,9L Piton des Neiges yaourt et coulis de Goyavier",3760234440528 20231 Date de durabilité minimale 31/08/2022 3760234440528 21040 Date de durabilité minimale 28/02/2023 3760234440528 21138 Date de durabilité minimale 31/05/2023,BAC 900 mL,,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/84f7846f-1146-4923-be7e-0b51bc9deeda.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1766/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1766/Interne,67665A92-2D88-4C8D-B190-6C6637756163,2021-09-02
2021-07-0705,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,Cônes x 6  Piton des Neiges mangue et coulis de passion lot x 2,3760234440542 20358 Date de durabilité minimale 30/06/2022 3760234440542 21173 et 21174 Date de durabilité minimale 31/12/2022,2 Boîtes de 6 cônes,,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/8370a9ff-d672-4a27-83da-ab2b30c43ea1.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1889/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1889/Interne,FBA72487-792A-4116-92E1-CEB2FC577209,2021-07-23
2021-07-0708,1,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,PITON DES NEIGES,Cônes x 6 Piton des Neiges vanille bourbon et coulis de Goyavier,3760234440481 20301 Date de durabilité minimale 30/04/2022 3760234440481 21091 Date de durabilité minimale 30/09/2022 3760234440481 21120 Date de durabilité minimale 31/10/2022,Boîte de 6 cônes,,Produit à conserver au congélateur,FR 974-16-021 CE,,Départements: REUNION (974),CARREFOUR/INTERMARK/SYSTEM U/RUN MARKET/AUCHAN/LEADER PRICE/LECLERC/PCHR,"Glaces de Bourbon procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène , au-delà de la limite réglementaire, dans un ingrédient entrant dans la composition de sa crème glacée",Autres contaminants chimiques,,Teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans la caroube entrant en très faible quantité dans la composition du coulis,Ne plus consommer Ne plus utiliser le produit Détruire le produit,262919000,Remboursement,dimanche 15 août 2021,"Pour toute information complémentaire, vous pouvez contacter le service consommateur de Glaces de Bourbon (serviceconso@cilam.com)",https://rappel.conso.gouv.fr/image/62b5bc5d-dd3d-4f78-91cf-034ab2033698.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1892/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1892/Interne,16847613-C827-4FA0-802A-1A898C26E1DE,2021-07-23
2021-07-0709,1,Volontaire (sans arrêté préfectoral),"Vêtements, Mode, EPI",Bijouterie,Ogc Nice,Montre Ogc Nice,Tous les lots,,Du 15/07/2020 au 20/07/2021,,,,Départements: ALPES-MARITIMES (06),Boutique Ogc Nice et quelques tabacs et stations services dans le 06,Risque d'intoxication - Teneur et libération de métaux (nickel et plomb) au delà des seuils règlementaires ),Intoxication,,Risque d'intoxication - Teneur et libération de métaux (nickel et plomb) au delà des seuils règlementaires ),Ne plus utiliser le produit Rapporter le produit au point de vente,627743845,Remboursement,dimanche 8 août 2021,,https://rappel.conso.gouv.fr/image/2f638c4d-a10f-48e7-8f40-0d97b2301abc.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/1893/Interne,https://rappel.conso.gouv.fr/fiche-rappel/1893/Interne,8DD28723-CED6-4580-824B-10CFD2573EC3,2021-07-22
2021-07-0910,1,Volontaire (sans arrêté préfectoral),Autres,Divers,VSL,548821,3491955488215 Tous les lots,Boite,Du 11/02/2020 au 22/07/2021,,,Montre bracelet rose,France entière,GIFI,"Les teneurs en plomb, en cadmium et en nickel libéré de l'échantillon sont supérieures aux seuils réglementaires",Blessures externes,,risque de libération de métaux,Ne plus utiliser le produit Rapporter le produit au point de vente,553405454,Remboursement,,,https://rappel.conso.gouv.fr/image/8ec7a92b-0bff-486a-88dd-30e340cf39e7.jpg,https://rappel.conso.gouv.fr/document/0893fb4b-ebc3-4d75-9ecc-0858e45832fe/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/a99aea15-98c5-440f-913c-90c61c030696/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/2094/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2094/Interne,AD8CD9F0-47E0-420A-946F-F259A5E714F0,2021-07-23
2021-07-0933,1,Volontaire (sans arrêté préfectoral),Alimentation,Fruits et légumes,Casino,Concombre BIO,3222473650873 G01 004 1841432,,Du 02/07/2021 au 09/07/2021,Produit à conserver à température ambiante,,,France entière,"les enseignes Casino, Vival, Spar et réseaux de distribution de Casino",Présence d'un résidu de pesticide,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,298623144,Remboursement,vendredi 30 juillet 2021,"L’ensemble du lot est retiré de la commercialisation.
Certains de ces produits ont cependant été commercialisés avant la mesure de retrait.
Par précaution, Il est demandé aux personnes qui détiendraient ces produits de ne pas les consommer, et de les",https://rappel.conso.gouv.fr/image/009aca32-dab2-4299-9344-5348b8fa9da5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2117/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2117/Interne,46771C2D-3641-4544-BC01-78EC6BE5A2B4,2021-07-26
2021-07-0959,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,Eismann,2 croissants jambon fromage,3255790419359 03/01/2021 Date de durabilité minimale 03/02/2023 3255790419359 31/03/2021 Date de durabilité minimale 31/03/2023,boite 180 g,,Produit à conserver au congélateur,FR 76-278-001 CE,,France entière,Eismann,Une alerte a mis en évidence une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne.,Autres contaminants chimiques,,"Suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée et comme un grand nombre d’acteurs de la distribution, nous procédons",Ne plus consommer Détruire le produit,800421701,Remboursement,,,https://rappel.conso.gouv.fr/image/1ff25790-8473-4e92-be3a-49b21956b253.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2143/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2143/Interne,3148C5E5-F331-42EB-80DE-6A418A0139E4,2021-07-26
2021-07-0960,1,Volontaire (sans arrêté préfectoral),Alimentation,Plats préparés et snacks,Eismann,4 Croq rösti,3255790427286 11/01/2021 Date de durabilité minimale 11/07/2022 3255790427286 16/02/2021 Date de durabilité minimale 16/08/2022,Boite 520 g,,Produit à conserver au congélateur,FR 76-278-001 CE,,France entière,Eismann,Une alerte a mis en évidence une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne.,Autres contaminants chimiques,,"Suite à une alerte européenne concernant la présence potentielle d’oxyde d’éthylène à une teneur supérieure à la limite autorisée et comme un grand nombre d’acteurs de la distribution, nous procédons",Ne plus consommer Détruire le produit,800421701,Remboursement,,,https://rappel.conso.gouv.fr/image/e4c23031-d08e-4f81-8632-1ef0efe4813d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2144/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2144/Interne,3A765A2E-CAF4-4BD1-9BEB-881914DCCC1F,2021-07-26
2021-07-0980,1,Volontaire (sans arrêté préfectoral),Alimentation,Viandes,SEVIMA,"Boeuf assaisonné 270g : EAN 3173820002343 / Boeuf assaisonné pimenté 270g : 3173820003708
Boeuf assaisonné 405g : EAN 3173820002350 / Boeuf assaisonné pimenté 405g : 3173820006617","3173820002343 02217, 02316, 02412, 02417, 12512 Date limite de consommation entre le 27/01/2025 et le 01/06/2025 3173820002350 02119, 02211, 12405, 12416 Date limite de consommation entre le 19/01/2025 et le 26/05/2025 3173820003708 02217, 02315, 02316, 02417 Date limite de consommation entre le 27/01/2025 et le 16/02/2025 3173820006617 02210, 02910 Date limite de consommation entre le 20/01/2025 et le 31/03/2025",Boite métal,Du 19/01/2021 au 01/06/2025,Produit à conserver à température ambiante,FR 65.375.001 CE,,France entière,Osax Distribution,Non-conformité détectée sur un ingrédient (additif) entrant dans la composition du produit fini,Additifs et arômes dépassement des seuils de sécurité,,Résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient - additif (indétectable dans le produit fini),Ne plus consommer,,Autre (voir informations complémentaires),vendredi 20 août 2021,,https://rappel.conso.gouv.fr/image/d3842d52-0219-46a4-add8-0ff77ac42087.jpg https://rappel.conso.gouv.fr/image/ffe5e6b0-4b16-4802-9dfa-14dfc668ec72.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2164/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2164/Interne,C28F3F31-4472-4A1F-B792-970A379499F2,2021-08-09
2021-07-0981,1,Volontaire (sans arrêté préfectoral),Alimentation,Viandes,SEVIMA,Porc assaisonné 405g : Code EAN 3173820003319,"3173820003319 02118, 12415 Date limite de consommation entre le 18/01/2025 et le 25/05/2025",Boite métal,Du 05/02/2021 au 18/02/2025,Produit à conserver à température ambiante,FR 65.375.001 CE,,France entière,Osax Distribution,Non-conformité détectée sur un ingrédient (additif) entrant dans la composition du produit fini,Additifs et arômes dépassement des seuils de sécurité,,Résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient - additif (indétectable dans le produit fini),Ne plus consommer,,Autre (voir informations complémentaires),vendredi 20 août 2021,,https://rappel.conso.gouv.fr/image/a8c029db-de6f-4740-9235-3abd2a1507dc.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2165/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2165/Interne,6C9CA0A4-A616-4A34-876D-056CB9DFADBC,2021-08-12
2021-07-0984,1,Volontaire (sans arrêté préfectoral),Alimentation,Viandes,SEVIMA,Poulet assaisonné 405g : EAN 3173820003562,"3173820003562 02211, 02419 Date limite de consommation entre le 21/01/2025 et le 22/02/2025",Boite métal,Du 05/02/2021 au 22/02/2025,Produit à conserver à température ambiante,FR 65.375.001 CE,,France entière,Osax Distribution,Non-conformité détectée sur un ingrédient (additif) entrant dans la composition du produit fini,Additifs et arômes dépassement des seuils de sécurité,,Résidu d'oxyde d'éthylène dépassant la limite autorisée sur un ingrédient - additif (indétectable dans le produit fini),Ne plus consommer,,Autre (voir informations complémentaires),vendredi 20 août 2021,,https://rappel.conso.gouv.fr/image/adc0b97f-9c21-42be-9a65-e57bb15c6d0d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2168/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2168/Interne,3F29482A-3BFE-4BD3-B429-F4C685BAB3C3,2021-08-09
2021-07-1093,1,Volontaire (sans arrêté préfectoral),Alimentation,Herbes et épices,Laboratoires IPHYM,sacs krafts de mélisse feuille coupée bio de 50g,19-79077 Date de durabilité minimale 31/10/2022  20-82245 Date de durabilité minimale 31/03/2023  20-86426 Date de durabilité minimale 31/07/2023  20-88771 Date de durabilité minimale 31/10/2023  21-90622 Date de durabilité minimale 31/01/2024  21-91701 Date de durabilité minimale 29/02/2024  21-93045 Date de durabilité minimale 31/03/2024  21-94748 Date de durabilité minimale 30/06/2024,sacs krafts de mélisse feuille coupée bio de 50g,Du 19/11/2019 au 12/07/2021,Produit à conserver à température ambiante,,sacs krafts de mélisse feuille coupée bio de 50g,France entière,pharmacie,"Présence de pesticides
Décisions d'ECOCERT de déclasser la mélisse BIO en Conventionnelle",Produits phytosanitaires non autorisés,,,Ne plus consommer,,Autre (voir informations complémentaires),mardi 31 août 2021,"Merci de vous rapprocher de votre pharmacien auprès de qui vous
avez acheté le produit",https://rappel.conso.gouv.fr/image/30f7cfd6-f216-4301-94df-af194a995835.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2277/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2277/Interne,FE30FF12-2955-479A-AEEB-82E657E2EC04,2021-07-28
2021-07-1094,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",SANTANE,Boites de 16 sachets pyramidaux d'infusion Nuit Douce bio,20-90138 Date de durabilité minimale 31/12/2023,Boites de 16 sachets pyramidaux d'infusion Nuit Douce bio,Du 31/12/2020 au 12/07/2021,Produit à conserver à température ambiante,,Boites de 16 sachets pyramidaux d'infusion Nuit Douce bio,France entière,pharmacie,"présence de pesticides.
décision d'ECOCERT de déclasser l'une des matières en conventionnelles",Produits phytosanitaires non autorisés,,,Ne plus consommer,,Autre (voir informations complémentaires),mardi 31 août 2021,"Merci de vous rapprocher de votre pharmacien auprès de qui vous
avez acheté le produit",https://rappel.conso.gouv.fr/image/95ff0e5f-0686-4a01-911f-b03bcacd5847.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/2278/Interne,https://rappel.conso.gouv.fr/fiche-rappel/2278/Interne,18F1D1FC-7ACE-4D07-BBC5-8AAE95D2AA0E,2021-07-28
